"GENYRONL","GENSUM"
1891-04-14,24330
1893-04-14,1512
1896-04-14,21453
1898-04-14,25514
1899-04-14,876
1900-04-14,20899
1901-04-14,20722
1902-04-14,4993
1903-04-14,90055
1904-04-14,141445
1905-04-14,176360
1906-04-14,167786
1907-04-14,492068
1908-04-14,143355
1909-04-14,180176
1910-04-14,546437
1911-04-14,513457
1912-04-14,548261
1913-04-14,1558801
1914-04-14,470983
1915-04-14,1361426
1916-04-14,641889
1917-04-14,1007830
1918-04-14,759432
1919-04-14,768798
1920-04-14,364969
1921-04-14,926543
1922-04-14,599929
1923-04-14,1305332
1924-04-14,1824627
1925-04-14,2237135
1926-04-14,819629
1927-04-14,1307481
1928-04-14,3207864
1929-04-14,851163
1930-04-14,1897487
1931-04-14,2013808
1932-04-14,703267
1933-04-14,72697
1934-04-14,69111
1935-04-14,314884
1936-04-14,2218842
1937-04-14,1067647
1938-04-14,2031893
1939-04-14,1310796
1940-04-14,1487079
1941-04-14,2354027
1942-04-14,3258641
1943-04-14,3785364
1944-04-14,3145671
1945-04-14,1461551
1946-04-14,353768
1947-04-14,728279
1948-04-14,3384600
1949-04-14,4876586
1950-04-14,3848639
1951-04-14,6291946
1952-04-14,6177035
1953-04-14,11537086
1954-04-14,14841843
1955-04-14,25933873
1956-04-14,10062514
1957-04-14,10767508
1958-04-14,25346928
1959-04-14,25451095
1960-04-14,11675985
1961-04-14,26684789
1962-04-14,15519894
1963-04-14,23314503
1964-04-14,16739503
1965-04-14,22496709
1966-04-14,22716067
1967-04-14,43171746
1968-04-14,39924435
1969-04-14,59997590
1970-04-14,71337069
1971-04-14,80965509
1972-04-14,103333581
1973-04-14,109368965
1974-04-14,138032859
1975-04-14,117341994
1976-04-14,74822909
1977-04-14,109149549
1978-04-14,78718724
1979-04-14,69329885
1980-04-14,92181799
1981-04-14,82623942
1982-04-14,75535286
1983-04-14,50058732
1984-04-14,118086571
1985-04-14,105544975
1986-04-14,114948467
1987-04-14,97323254
1988-04-14,70272900
1989-04-14,56372615
1990-04-14,60462184
1991-04-14,29712663
1992-04-14,19112122
1993-04-14,24091214
1994-04-14,25911391
1995-04-14,26405856
1996-04-14,27343063
1997-04-14,16113402
1998-04-14,9510553
1999-04-14,25023869
2000-04-14,72087876
2001-04-14,107277703
2002-04-14,213550203
2003-04-14,201548957
2004-04-14,106991887
2005-04-14,77067882
2006-04-14,50129170
2007-04-14,45907167
2008-04-14,60862741
2009-04-14,74603311
2010-04-14,77118376
2011-04-14,97151418
2012-04-14,111994664
2013-04-14,43032131
2014-04-14,73287734
2015-04-14,65602717
2016-04-14,44199696
2017-04-14,30769
