"SEQPLT16","PSTATABB","PLPRMFL","PLNGENAN","PLCO2EQA"
"3","AK","DFO",1213,1050
"4","AK","WAT",881,0
"5","AK","DFO",1316,1088
"6","AK","NG",45082,31903
"7","AK","DFO",1714,1430
"8","AK","DFO",2614,2167
"9","AK","WAT",25644,0
"10","AK","DFO",8,244
"11","AK","SUB",191982,191349
"12","AK","NG",50162,44205
"14","AK","WAT",42915,0
"15","AK","NG",84421,89981
"16","AK","NG",12,429
"17","AK","DFO",41020,33000
"18","AK","WAT",20763,0
"19","AK","WAT",69018,0
"20","AK","WAT",430509,0
"21","AK","DFO",1137,878
"22","AK","DFO",3046,3050
"23","AK","WAT",4585,0
"24","AK","DFO",2471,1515
"25","AK","WAT",86666,0
"26","AK","DFO",431,465
"27","AK","DFO",38,298
"28","AK","WND",4446,0
"29","AK","DFO",18122,14187
"30","AK","DFO",46918,34984
"31","AK","SUB",69895,41747
"32","AK","NG",819046,417888
"33","AK","WAT",76916,0
"34","AK","DFO",1278,948
"35","AK","DFO",4654,3020
"37","AK","WND",73845,0
"38","AK","DFO",7133,12944
"39","AK","DFO",689,559
"40","AK","WND",56022,0
"42","AK","DFO",108,89
"43","AK","DFO",5390,4742
"44","AK","DFO",1911,1143
"45","AK","NG",589738,380840
"46","AK","DFO",10403,8335
"47","AK","WAT",16957,0
"48","AK","WAT",4597,9
"49","AK","WAT",35983,0
"50","AK","DFO",2554,2469
"52","AK","LIG",192475,300820
"54","AK","DFO",3348,2673
"55","AK","DFO",3326,2272
"56","AK","WAT",3743,0
"58","AK","DFO",138,1531
"60","AK","DFO",1099,1734
"61","AK","LFG",42516,1
"62","AK","DFO",2139,1892
"63","AK","WAT",7123,0
"64","AK","DFO",2958,1934
"65","AK","WAT",20683,0
"66","AK","DFO",1545,1198
"67","AK","WAT",3914,1663
"68","AK","DFO",1282,971
"71","AK","DFO",1927,1466
"72","AK","DFO",20474,13178
"73","AK","DFO",1287,947
"74","AK","WAT",87454,0
"75","AK","DFO",212,275
"77","AK","DFO",1474,1164
"78","AK","DFO",2289,1808
"79","AK","DFO",2729,2187
"80","AK","DFO",22066,9587
"81","AK","DFO",1343,1037
"82","AK","WAT",3177,67
"83","AK","NG",398898,204592
"84","AK","DFO",1813,1406
"85","AK","DFO",1855,1432
"86","AK","WO",417652,328134
"87","AK","DFO",1107,983
"88","AK","DFO",3855,3652
"89","AK","DFO",2859,2930
"90","AK","DFO",4580,4294
"91","AK","DFO",6349,5825
"92","AK","DFO",6549,4882
"93","AK","DFO",3609,3064
"94","AK","DFO",6796,6221
"97","AK","DFO",5589,4604
"98","AK","WAT",964,2
"99","AK","WAT",11732,102
"100","AK","WND",29309,0
"101","AK","DFO",1938,1573
"103","AK","WAT",15539,0
"104","AK","WAT",14286,0
"105","AK","DFO",2156,1462
"107","AK","WAT",27902,0
"108","AK","DFO",2302,1683
"109","AK","DFO",1634,1306
"110","AK","DFO",2812,2169
"111","AK","DFO",87,65
"112","AK","DFO",105,144
"113","AK","DFO",1638,1261
"114","AK","DFO",1551,1262
"115","AK","WAT",13207,0
"116","AK","WAT",2781,157
"117","AK","DFO",31847,21124
"118","AK","WAT",273037,0
"119","AK","NG",39612,27231
"120","AK","WAT",54850,0
"121","AK","WAT",5322,0
"122","AK","NG",871990,393968
"123","AK","DFO",2980,2724
"125","AK","DFO",3351,2744
"127","AK","WAT",71246,0
"129","AK","WAT",124484,0
"130","AK","NG",62679,18098
"132","AK","NG",72702,55911
"134","AK","DFO",2987,2405
"135","AK","DFO",9175,7191
"136","AK","DFO",3430,2364
"137","AK","WAT",96901,0
"138","AK","DFO",3199,2519
"139","AK","DFO",289,238
"140","AK","DFO",30339,25922
"141","AK","SUB",41064,24759
"142","AK","DFO",1447,1129
"143","AK","SUB",105551,69032
"144","AK","DFO",5050,4518
"145","AK","WO",17636,13009
"147","AK","DFO",18455,6697
"148","AK","WAT",7649,0
"149","AK","DFO",44,55
"150","AK","DFO",5794,4686
"151","AL","OG",2989,994
"152","AL","BLQ",439412,10318
"153","AL","BLQ",310492,12953
"155","AL","NG",46242,31143
"161","AL","BIT",12770891,8273769
"162","AL","WAT",362014,0
"164","AL","BLQ",124312,16045
"165","AL","NUC",26214623,0
"166","AL","NG",195125,127182
"167","AL","BIT",1480692,1951563
"168","AL","BIT",744333,972218
"169","AL","DFO",695,602
"170","AL","NG",2600458,1152910
"171","AL","LFG",10970,0
"173","AL","NG",6096885,2517672
"174","AL","BIT",4280420,5013582
"175","AL","NG",83285,25609
"177","AL","NG",190978,118251
"178","AL","WAT",5718,0
"179","AL","BLQ",226578,36521
"180","AL","BLQ",219376,38496
"181","AL","WAT",116128,0
"182","AL","BIT",5494441,6183799
"183","AL","NG",1309634,1060024
"184","AL","WAT",506256,0
"185","AL","WAT",154855,0
"186","AL","WAT",114934,0
"187","AL","NG",5387101,2229445
"188","AL","NG",1501249,668314
"189","AL","WAT",129325,0
"190","AL","BLQ",573671,181000
"191","AL","NG",576969,0
"192","AL","SUB",18193039,21724990
"193","AL","WAT",195134,0
"194","AL","WAT",269244,0
"195","AL","NUC",13687256,0
"198","AL","WAT",404623,0
"199","AL","WAT",233853,0
"200","AL","WAT",266305,0
"201","AL","WAT",304289,0
"202","AL","NG",308871,199096
"203","AL","NG",3816606,1685241
"204","AL","NG",777256,154453
"205","AL","WAT",239468,0
"206","AL","WAT",372569,0
"207","AL","WDS",391430,79395
"208","AL","NG",4115273,1615156
"209","AL","NG",11670861,4826857
"210","AL","WAT",14113,0
"211","AL","SUN",31261,0
"212","AL","BLQ",228860,17456
"213","AL","NG",477109,129366
"214","AL","LFG",27140,0
"215","AL","OG",23726,7820
"216","AL","NG",5185641,2416327
"217","AL","NG",2905517,1244588
"218","AL","NG",1272659,462287
"219","AL","WAT",200640,0
"220","AL","BLQ",134783,13039
"222","AL","WAT",468960,0
"223","AL","NG",19268,14291
"224","AL","NG",718606,284186
"225","AL","WAT",164092,0
"226","AL","WDS",39791,490
"227","AL","BLQ",476045,21140
"228","AL","WAT",1014935,0
"230","AL","WAT",1809161,0
"231","AL","WAT",116654,0
"232","AL","NG",17476,17605
"234","AR","NUC",13421022,0
"235","AR","BLQ",573418,55501
"236","AR","WAT",164928,0
"237","AR","WAT",223819,0
"238","AR","WAT",875676,0
"239","AR","NG",16219,11189
"240","AR","WAT",70029,0
"242","AR","NG",67723,37753
"243","AR","BLQ",99202,10385
"244","AR","WDS",2289,29
"245","AR","WAT",378865,0
"246","AR","WAT",664117,0
"247","AR","WAT",106751,0
"248","AR","NG",735515,349741
"249","AR","NG",7805,5695
"250","AR","WAT",138536,0
"251","AR","SUB",2041334,2407860
"252","AR","OBG",5571,297
"253","AR","NG",48100,30189
"255","AR","BLQ",505600,56005
"256","AR","WAT",198122,0
"258","AR","NG",117273,89238
"260","AR","NG",2964241,1214374
"261","AR","SUB",7704239,8300171
"262","AR","SUB",3748751,3764882
"263","AR","NG",332156,226751
"266","AR","NG",2046994,884487
"267","AR","NG",61314,46347
"269","AR","WAT",147872,0
"270","AR","WAT",46537,0
"271","AR","WAT",233281,0
"273","AR","NG",519479,251571
"274","AR","WAT",103533,0
"275","AR","SUN",1600,0
"277","AR","NG",354,207
"278","AR","NG",41,33
"279","AR","NG",1212971,401453
"280","AR","BLQ",414473,10015
"281","AR","SUB",4605320,4824513
"282","AR","WAT",42767,0
"283","AR","OBS",43440,560
"285","AR","SUN",24542,0
"287","AR","NG",255902,137008
"288","AR","LFG",33799,0
"289","AR","NG",37742,23582
"290","AR","NG",9459445,4014570
"292","AR","LFG",30837,0
"293","AR","WAT",169672,0
"294","AR","SUB",5697538,6773189
"295","AR","WAT",6005,0
"296","AR","WAT",15966,0
"297","AR","WAT",22334,0
"298","AZ","SUN",4481,0
"299","AZ","SUN",743533,0
"300","AZ","NG",84854,66926
"301","AZ","SUN",1036,0
"302","AZ","SUN",77,0
"304","AZ","SUB",2068779,2425133
"305","AZ","NG",15748,10876
"306","AZ","NG",2570029,1060214
"307","AZ","NG",50187,15427
"308","AZ","SUN",9854,0
"309","AZ","NG",1885829,832398
"311","AZ","SUN",364396,0
"312","AZ","SUN",79764,0
"313","AZ","SUN",38231,0
"314","AZ","SUN",74846,0
"315","AZ","SUN",41342,0
"316","AZ","NG",56868,35176
"317","AZ","SUN",20652,0
"318","AZ","SUN",12278,0
"320","AZ","SUN",7398,0
"321","AZ","SUN",15,0
"323","AZ","SUN",45734,0
"324","AZ","SUB",2432167,3034143
"325","AZ","NG",54338,16466
"326","AZ","NG",36816,11067
