"PSTATABB","PLNTGEN","ECO2","Count"
"AK",6339538,2944890,128
"AL",142863565,65536193,69
"AR",60445059,33927595,52
"AZ",108734651,50946063,112
"CA",197956373,44797489,1163
"CO",54679959,40213412,147
"CT",36329184,9163102,82
"DC",76474,18470,2
"DE",8503670,3882516,23
"FL",238226560,122563209,142
"GA",133442300,66946061,136
"HI",9990734,7625205,49
"IA",54410530,27282737,202
"ID",15660938,1482097,133
"IL",187449832,76478310,188
"IN",101397341,92519595,139
"KS",47604224,28650570,105
"KY",80288292,78987719,43
"LA",106760895,47122288,73
"MA",32452386,13219952,281
"MD",37160606,18944026,86
"ME",11514427,2001324,94
"MI",113002680,62002343,209
"MN",60039142,30625694,270
"MO",78765163,66775962,95
"MS",62881295,29649438,36
"MT",27331516,17504710,49
"NC",130367886,57057183,512
"ND",37856452,31701420,52
"NE",37305490,24002312,88
"NH",19282493,3054272,58
"NJ",77308206,21720660,249
"NM",32922552,26051651,89
"NV",39228694,15133236,74
"NY",134561764,31234830,366
"OH",118988561,87717199,138
"OK",78742437,41227443,96
"OR",60182284,9242798,149
"PA",215636364,92481973,202
"RI",6564885,2861272,26
"SC",97964881,30685752,83
"SD",10289920,2657487,30
"TN",80044580,39607120,60
"TX",453941341,239363582,399
"UT",38057536,31239017,98
"VA",93357751,37900267,127
"VT",1756425,63857,84
"WA",114087166,10720171,128
"WI",64967434,45362447,164
"WV",75948157,75584464,32
"WY",46656631,47612318,62
